"",BBEX3.D.TRY.EUR.BB.AC.000,BBEX3.D.TRY.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = TRY ... / Turkey / from January 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 January 2005: TRL 1,000,000 = TRY 1. Up to the end of 2004, see BBEX3:D:TRL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,TRY,
unit multiplier,One,
last update,2025-01-31 16:00:08,
2012-03-26,2.3767,
2012-03-27,2.3809,
2012-03-28,2.3763,
2012-03-29,2.3677,
2012-03-30,2.3774,
2012-03-31,.,No value available
2012-04-01,.,No value available
2012-04-02,2.3760,
2012-04-03,2.3677,
2012-04-04,2.3584,
2012-04-05,2.3468,
2012-04-06,.,No value available
2012-04-07,.,No value available
2012-04-08,.,No value available
2012-04-09,.,No value available
2012-04-10,2.3624,
2012-04-11,2.3711,
2012-04-12,2.3664,
2012-04-13,2.3536,
2012-04-14,.,No value available
2012-04-15,.,No value available
2012-04-16,2.3453,
2012-04-17,2.3515,
2012-04-18,2.3456,
2012-04-19,2.3444,
2012-04-20,2.3620,
2012-04-21,.,No value available
2012-04-22,.,No value available
2012-04-23,2.3570,
2012-04-24,2.3510,
2012-04-25,2.3417,
2012-04-26,2.3359,
2012-04-27,2.3280,
2012-04-28,.,No value available
2012-04-29,.,No value available
2012-04-30,2.3234,
2012-05-01,.,No value available
2012-05-02,2.3134,
2012-05-03,2.3125,
2012-05-04,2.3053,
2012-05-05,.,No value available
2012-05-06,.,No value available
2012-05-07,2.3000,
2012-05-08,2.2994,
2012-05-09,2.3236,
2012-05-10,2.3135,
2012-05-11,2.3135,
2012-05-12,.,No value available
2012-05-13,.,No value available
2012-05-14,2.3250,
2012-05-15,2.3210,
2012-05-16,2.3180,
2012-05-17,2.3199,
2012-05-18,2.3270,
2012-05-19,.,No value available
2012-05-20,.,No value available
2012-05-21,2.3371,
2012-05-22,2.3314,
2012-05-23,2.3409,
2012-05-24,2.3180,
2012-05-25,2.3106,
2012-05-26,.,No value available
2012-05-27,.,No value available
2012-05-28,2.3074,
2012-05-29,2.3008,
2012-05-30,2.2930,
2012-05-31,2.2960,
2012-06-01,2.3048,
2012-06-02,.,No value available
2012-06-03,.,No value available
2012-06-04,2.3024,
2012-06-05,2.3002,
2012-06-06,2.2996,
2012-06-07,2.2964,
2012-06-08,2.2848,
2012-06-09,.,No value available
2012-06-10,.,No value available
2012-06-11,2.2827,
2012-06-12,2.2860,
2012-06-13,2.2870,
2012-06-14,2.2890,
2012-06-15,2.2910,
2012-06-16,.,No value available
2012-06-17,.,No value available
2012-06-18,2.2883,
2012-06-19,2.2756,
2012-06-20,2.2797,
2012-06-21,2.2735,
2012-06-22,2.2661,
2012-06-23,.,No value available
2012-06-24,.,No value available
2012-06-25,2.2703,
2012-06-26,2.2683,
2012-06-27,2.2587,
2012-06-28,2.2691,
2012-06-29,2.2834,
2012-06-30,.,No value available
2012-07-01,.,No value available
2012-07-02,2.2775,
2012-07-03,2.2660,
2012-07-04,2.2677,
2012-07-05,2.2467,
2012-07-06,2.2527,
2012-07-07,.,No value available
2012-07-08,.,No value available
2012-07-09,2.2441,
2012-07-10,2.2353,
2012-07-11,2.2191,
2012-07-12,2.2141,
2012-07-13,2.2165,
2012-07-14,.,No value available
2012-07-15,.,No value available
2012-07-16,2.2115,
2012-07-17,2.2253,
2012-07-18,2.2131,
2012-07-19,2.2129,
2012-07-20,2.2075,
2012-07-21,.,No value available
